factory,factory_count
org.knime.base.node.mine.scorer.numeric2.NumericScorer2NodeFactory,6
org.knime.base.node.mine.regression.predict3.RegressionPredictorNodeFactory2,5
org.knime.base.node.mine.treeensemble2.node.gradientboosting.learner.classification.GradientBoostingClassificationLearnerNodeFactory2,5
org.knime.base.node.mine.regression.logistic.predictor.LogisticRegressionPredictorNodeFactory,5
org.knime.base.node.preproc.colconvert.numbertostring2.NumberToString2NodeFactory,5
org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3,5
org.knime.base.node.preproc.normalize3.Normalizer3NodeFactory,5
org.knime.base.node.mine.regression.logistic.learner4.LogRegLearnerNodeFactory4,5
org.knime.base.node.mine.regression.linear2.learner.LinReg2LearnerNodeFactory2,5
org.knime.base.node.preproc.double2int2.DoubleToIntNodeFactory,5
org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory,5
org.knime.base.node.mine.treeensemble2.node.gradientboosting.predictor.classification.GradientBoostingClassificationPredictorNodeFactory3,5
org.knime.time.node.extract.datetime.ExtractDateTimeFieldsNodeFactory2,4
org.knime.base.views.node.lineplot.LinePlotNodeFactory,4
org.knime.base.views.node.roccurve.ROCCurveNodeFactory,4
org.knime.base.node.mine.svm.learner.SVMLearnerNodeFactory2,4
org.knime.base.node.mine.neural.rprop.RPropNodeFactory2,4
org.knime.base.node.io.filehandling.csv.reader.FileReaderNodeFactory,4
org.knime.base.node.mine.svm.predictor2.SVMPredictorNodeFactory,4
org.knime.base.node.mine.neural.mlp2.MLPPredictorNodeFactory,4
org.knime.json.node.jsonpath.multi.JSONPathNodeFactory,4
org.knime.base.node.preproc.partition.PartitionNodeFactory,3
org.knime.rest.nodes.get.RestGetNodeFactory,3
org.knime.base.node.rules.engine.RuleEngineSplitterNodeFactory,3
org.knime.base.node.meta.looper.LoopEndDynamicNodeFactory,3
org.knime.base.node.preproc.crossjoin.CrossJoinerNodeFactory,3
org.knime.base.node.meta.looper.group.GroupLoopStartNodeFactory,3
org.knime.time.node.calculate.datetimedifference.DateTimeDifferenceNodeFactory2,3
org.knime.base.views.node.tableview.TableViewNodeFactory,3
org.knime.database.extension.msaccess.node.connector.MSAccessConnectorNodeFactory,2
org.knime.database.node.io.write2.DBWrite2NodeFactory,2
org.knime.base.node.stats.correlation.rank2.RankCorrelationCompute2NodeFactory,2
org.knime.base.node.preproc.filter.row3.RowSplitterNodeFactory,2
org.knime.base.node.flowvariable.tablerowtovariable3.TableToVariable3NodeFactory,2
org.knime.base.node.preproc.stringmanipulation.multicolumn.MultiColumnStringManipulationNodeFactory,2
org.knime.base.node.preproc.colconvert.categorytonumber2.CategoryToNumberNodeFactory2,2
org.knime.js.base.node.viz.plotter.scatterSelectionAppender.ScatterPlotNodeFactory,2
org.knime.base.node.preproc.correlation.compute2.CorrelationCompute2NodeFactory,2
org.knime.base.node.preproc.filter.rowref.RowFilterRefNodeFactory,2
org.knime.datageneration.counter.CounterGenerationNodeFactory,2
org.knime.base.node.preproc.ungroup.UngroupNodeFactory,2
org.knime.time.node.convert.datetimetostring.DateTimeToStringNodeFactory2,2
org.knime.time.node.manipulate.datetimeshift.DateShiftNodeFactory,2
org.knime.base.node.mine.cluster.kmeans.ClusterNodeFactory2,2
org.knime.js.base.node.viz.pagedTable.PagedTableViewNodeFactory,2
org.knime.base.node.preproc.valuelookup.ValueLookupNodeFactory,2
org.knime.base.node.meta.looper.variable.start.LoopStartVariable3NodeFactory,2
org.knime.base.node.preproc.rank.RankNodeFactory,1
org.knime.json.node.fromstring.StringToJSONNodeFactory,1
org.knime.base.node.util.sendmail.SendMailNodeFactory,1
org.knime.base.node.mine.bayes.naivebayes.learner3.NaiveBayesLearnerNodeFactory4,1
org.knime.time.node.convert.datetimetostring.DateTimeToStringNodeFactory,1
org.knime.base.node.switches.emptytableswitch.EmptyTableSwitchNodeFactory,1
org.knime.base.node.preproc.columnaggregator.ColumnAggregatorNodeFactory,1
org.knime.base.node.meta.looper.variable.end.LoopEndVariableNodeFactory,1
org.knime.base.node.io.filehandling.pmml.writer.PMMLWriterNodeFactory2,1
org.knime.base.node.preproc.caseconvert.CaseConvertNodeFactory,1
org.knime.base.node.switches.endif.EndifNodeFactory,1
org.knime.base.node.preproc.rowkey2.RowKeyNodeFactory2,1
org.knime.base.node.io.variablecreator.VariableCreatorNodeFactory,1
org.knime.time.node.convert.oldtonew.OldToNewTimeNodeFactory,1
org.knime.datageneration.dependendassigner.DependendAssignerNodeFactory,1
org.knime.datageneration.randomassigne.RandomAssignerNodeFactory,1
org.knime.base.node.io.filehandling.model.writer.ModelWriterNodeFactory,1
org.knime.filehandling.utility.nodes.listpaths.ListFilesAndFoldersNodeFactory,1
org.knime.ext.sharepoint.filehandling.node.SharepointConnectionNodeFactory,1
org.knime.python2.nodes.source.Python2SourceNodeFactory,1
org.knime.datageneration.randomassignerfil.RandomAssignerFileNodeFactory,1
org.knime.base.node.mine.bayes.naivebayes.predictor4.NaiveBayesPredictorNodeFactory3,1
org.knime.dynamic.js.v30.DynamicJSNodeFactory,1
org.knime.json.node.totable.JSONToTableNodeFactory,1
org.knime.ext.microsoft.authentication.node.auth.MicrosoftAuthenticationNodeFactory,1
org.knime.base.node.io.database.DatabaseLoopingNodeFactory,1
org.knime.js.base.node.configuration.filter.value.ValueFilterDialogNodeFactory,1
org.knime.ext.jep.multicolumn.MultiColumnJEPNodeFactory,1
org.knime.time.node.convert.timestamptodatetime.TimestampToDateTimeNodeFactory,1
org.knime.base.node.preproc.stringreplacer.StringReplacerNodeFactory,1
org.knime.base.node.preproc.table.updater.TableUpdaterNodeFactory,1
org.knime.base.node.stats.outlier.handler.NumericOutliersNodeFactory,1
org.knime.database.node.utility.tableselector.DBTableSelectNodeFactory2,1
org.knime.base.node.preproc.columnmerge.ColumnMergerNodeFactory,1
